iter	RMSE
0	0.5590430084
1	0.5450760876
2	0.5316910089
3	0.5186895553
4	0.5060264725
5	0.4936536402
6	0.4817286766
7	0.4701180144
8	0.4591889582
9	0.448490133
10	0.4381759618
11	0.4282548048
12	0.4186288825
13	0.409212962
14	0.4001198962
15	0.3915217906
16	0.3830073737
17	0.374999155
18	0.367048433
19	0.35945036
20	0.3520162014
21	0.3449507975
22	0.3381505406
23	0.3314688796
24	0.3252088224
25	0.318954192
26	0.3129896159
27	0.3072954632
28	0.3018888374
29	0.296612335
30	0.291520108
31	0.2866203427
32	0.2818940243
33	0.2773594094
34	0.2731036384
35	0.2689228134
36	0.2649279846
37	0.2610567983
38	0.2573607913
39	0.2537302547
40	0.250253718
41	0.2469344336
42	0.2436638723
43	0.240524897
44	0.2375024944
45	0.2346636239
46	0.231996445
47	0.2293677957
48	0.2269281788
49	0.2245057962
50	0.2221620396
51	0.2199582757
52	0.2178558642
53	0.2158265324
54	0.2139306932
55	0.2120903061
56	0.2103052315
57	0.2086205598
58	0.2069730396
59	0.2054128422
60	0.2039732216
61	0.2025849457
62	0.2012429667
63	0.1999277763
64	0.1986907711
65	0.1974659591
66	0.1963401963
67	0.195240177
68	0.1941799243
69	0.19316596
70	0.1922124099
71	0.1912882041
72	0.1904035107
73	0.1895684264
74	0.1887469967
75	0.1880092761
76	0.1872664591
77	0.1865662374
78	0.1858421882
79	0.1851741508
80	0.1845567649
81	0.1839835559
82	0.1833971945
83	0.1828573711
84	0.1823436354
85	0.1818183848
86	0.1813245912
87	0.1808395496
88	0.1804014424
89	0.1800044174
90	0.1795835352
91	0.1791922689
92	0.17881017
93	0.1784385774
94	0.1780854429
95	0.1777423438
96	0.1774263149
97	0.1771442453
98	0.176865797
99	0.1765759003
100	0.1763153929
101	0.1760385218
102	0.1757715819
103	0.1755284976
104	0.1753014404
105	0.1750797893
106	0.1748811385
107	0.1746396856
108	0.17440796
109	0.1742062766
110	0.1740278004
111	0.1738641459
112	0.1736910165
113	0.1735264196
114	0.1733346295
115	0.1731813948
116	0.1730269241
117	0.1728831511
118	0.1727616211
119	0.1726323083
120	0.1724996308
121	0.1723755622
122	0.1722487568
123	0.1721477206
124	0.1720053112
125	0.1718965997
126	0.1717959223
127	0.1717049501
128	0.1715976245
129	0.1714977232
130	0.1714040505
131	0.1713100097
132	0.1712295382
133	0.1711125804
134	0.1710319056
135	0.1709582338
136	0.1708858959
137	0.1708028001
138	0.1707428787
139	0.170639607
140	0.1705678376
141	0.1705092328
142	0.1704498817
143	0.1703971185
144	0.1703407857
145	0.1702876657
146	0.1702112811
147	0.1701694454
148	0.1701172259
149	0.1700561372
150	0.1700154758
151	0.1699449709
152	0.1699026494
153	0.169865082
154	0.169805947
155	0.1697545552
156	0.1697065015
157	0.1696606493
158	0.1696282838
159	0.1695732999
160	0.1695165464
161	0.1694772858
162	0.1694208502
163	0.1693775237
164	0.1693466516
165	0.1693055587
166	0.1692766774
167	0.169247979
168	0.1692193896
169	0.169188907
170	0.1691394311
171	0.1691157024
172	0.1690648697
173	0.1690356328
174	0.1690117951
175	0.1689923085
176	0.1689471431
177	0.1689226614
178	0.1689025144
179	0.1688735284
180	0.1688355046
181	0.1688100358
